species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
rthhum,Archilochus colubris,Ruby-throated Hummingbird,36000000,36000000,TRUE,1,TRUE,36000000
ruckin,Corthylio calendula,Ruby-crowned Kinglet,100000000,100000000,TRUE,1,TRUE,100000000
rudduc,Oxyura jamaicensis,Ruddy Duck,1700000,1300000,FALSE,0.9999990437775537,FALSE,1700000
rudtur,Arenaria interpres,Ruddy Turnstone,600000,250000,FALSE,0.5137795084162164,FALSE,310000
rufhum,Selasphorus rufus,Rufous Hummingbird,22000000,22000000,TRUE,1,TRUE,22000000
rusbla,Euphagus carolinus,Rusty Blackbird,6800000,6800000,TRUE,1,TRUE,6800000
sagspa1,Artemisiospiza nevadensis,Sagebrush Sparrow,5400000,5400000,TRUE,1,TRUE,5400000
sagthr,Oreoscoptes montanus,Sage Thrasher,6400000,6400000,TRUE,1,TRUE,6400000
sancra,Antigone canadensis,Sandhill Crane,560000,500000,FALSE,0.9999999999999999,FALSE,560000
sander,Calidris alba,Sanderling,650000,300000,FALSE,0.5843645326228242,FALSE,380000
santer1,Thalasseus sandvicensis,Sandwich Tern,1000000,94000,FALSE,0.49492326852446467,FALSE,490000
savspa,Passerculus sandwichensis,Savannah Sparrow,170000000,170000000,TRUE,1,TRUE,170000000
saypho,Sayornis saya,Say's Phoebe,5900000,5000000,FALSE,1,TRUE,5900000
scatan,Piranga olivacea,Scarlet Tanager,2600000,2600000,TRUE,1,TRUE,2600000
scoori,Icterus parisorum,Scott's Oriole,4900000,1700000,FALSE,1,TRUE,4900000
sctfly,Tyrannus forficatus,Scissor-tailed Flycatcher,9100000,7900000,FALSE,1,TRUE,9100000
sedwre1,Cistothorus stellaris,Sedge Wren,5000000,5000000,TRUE,1,TRUE,5000000
semplo,Charadrius semipalmatus,Semipalmated Plover,200000,200000,TRUE,0.9999950518134606,FALSE,200000
semsan,Calidris pusilla,Semipalmated Sandpiper,2300000,2300000,TRUE,1,TRUE,2300000
shbdow,Limnodromus griseus,Short-billed Dowitcher,150000,150000,TRUE,1,TRUE,150000
sheowl,Asio flammeus,Short-eared Owl,2300000,600000,FALSE,0.5256266197596062,FALSE,1200000
shshaw,Accipiter striatus,Sharp-shinned Hawk,1000000,410000,FALSE,1,TRUE,1000000
snobun,Plectrophenax nivalis,Snow Bunting,29000000,14000000,FALSE,0.9330162118636709,FALSE,27000000
snoegr,Egretta thula,Snowy Egret,2100000,220000,FALSE,1,TRUE,2100000
snogoo,Anser caerulescens,Snow Goose,16000000,15000000,FALSE,0.9998461369546742,FALSE,16000000
snoowl1,Bubo scandiacus,Snowy Owl,29000,15000,FALSE,1,TRUE,29000
snoplo5,Anarhynchus nivosus,Snowy Plover,31000,24000,FALSE,1,TRUE,31000
solsan,Tringa solitaria,Solitary Sandpiper,190000,190000,TRUE,1,TRUE,190000
sonspa,Melospiza melodia,Song Sparrow,130000000,130000000,TRUE,1,TRUE,130000000
sora,Porzana carolina,Sora,4400000,4400000,TRUE,1,TRUE,4400000
sposan,Actitis macularius,Spotted Sandpiper,660000,660000,TRUE,0.9999988318300274,FALSE,660000
spotow,Pipilo maculatus,Spotted Towhee,40000000,35000000,FALSE,1,TRUE,40000000
sprpip,Anthus spragueii,Sprague's Pipit,1400000,1400000,TRUE,1,TRUE,1400000
sstspa,Ammospiza caudacuta,Saltmarsh Sparrow,60000,60000,TRUE,1,TRUE,60000
stisan,Calidris himantopus,Stilt Sandpiper,1200000,1200000,TRUE,1,TRUE,1200000
subfly,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,2000000,1000,FALSE,1,TRUE,2000000
sumtan,Piranga rubra,Summer Tanager,12000000,11000000,FALSE,1,TRUE,12000000
surfbi,Calidris virgata,Surfbird,70000,70000,TRUE,1,TRUE,70000
sursco,Melanitta perspicillata,Surf Scoter,470000,470000,TRUE,0.999999869423045,FALSE,470000
swahaw,Buteo swainsoni,Swainson's Hawk,900000,820000,FALSE,1,TRUE,900000
swaspa,Melospiza georgiana,Swamp Sparrow,23000000,23000000,TRUE,1,TRUE,23000000
swathr,Catharus ustulatus,Swainson's Thrush,120000000,120000000,TRUE,1,TRUE,120000000
swawar,Limnothlypis swainsonii,Swainson's Warbler,160000,160000,TRUE,1,TRUE,160000
swtkit,Elanoides forficatus,Swallow-tailed Kite,260000,12000,FALSE,1,TRUE,260000
tenwar,Leiothlypis peregrina,Tennessee Warbler,110000000,110000000,TRUE,1,TRUE,110000000
thbkin,Tyrannus crassirostris,Thick-billed Kingbird,2000000,500,FALSE,1,TRUE,2000000
towsol,Myadestes townsendi,Townsend's Solitaire,1100000,1100000,TRUE,1,TRUE,1100000
towwar,Setophaga townsendi,Townsend's Warbler,21000000,21000000,TRUE,1,TRUE,21000000
treswa,Tachycineta bicolor,Tree Swallow,19000000,19000000,TRUE,1,TRUE,19000000
triher,Egretta tricolor,Tricolored Heron,190000,58000,FALSE,1,TRUE,190000
truswa,Cygnus buccinator,Trumpeter Swan,63000,63000,TRUE,1,TRUE,63000
tunswa,Cygnus columbianus,Tundra Swan,280000,190000,FALSE,0.9605591524171615,FALSE,270000
turvul,Cathartes aura,Turkey Vulture,28000000,8400000,FALSE,1,TRUE,28000000
uplsan,Bartramia longicauda,Upland Sandpiper,750000,750000,TRUE,1,TRUE,750000
varbun,Passerina versicolor,Varied Bunting,360000,69000,FALSE,1,TRUE,360000
varthr,Ixoreus naevius,Varied Thrush,35000000,35000000,TRUE,1,TRUE,35000000
vauswi,Chaetura vauxi,Vaux's Swift,870000,420000,FALSE,1,TRUE,870000
verfly,Pyrocephalus rubinus,Vermilion Flycatcher,15000000,540000,FALSE,1,TRUE,15000000
vesspa,Pooecetes gramineus,Vesper Sparrow,35000000,35000000,TRUE,1,TRUE,35000000
vigswa,Tachycineta thalassina,Violet-green Swallow,7200000,6700000,FALSE,1,TRUE,7200000
virrai,Rallus limicola,Virginia Rail,240000,230000,FALSE,1,TRUE,240000
virwar,Leiothlypis virginiae,Virginia's Warbler,900000,900000,TRUE,1,TRUE,900000
wantat1,Tringa incana,Wandering Tattler,18000,16000,FALSE,0.6940381274834848,FALSE,16000
warvir,Vireo gilvus,Warbling Vireo,53000000,52000000,FALSE,1,TRUE,53000000
wesblu,Sialia mexicana,Western Bluebird,7100000,5700000,FALSE,1,TRUE,7100000
wesfly,Empidonax difficilis,Western Flycatcher,13100000,11200000,FALSE,1,TRUE,13000000
wesgre,Aechmophorus occidentalis,Western Grebe,1000000,990000,FALSE,1,TRUE,1000000
weskin,Tyrannus verticalis,Western Kingbird,30000000,29000000,FALSE,1,TRUE,30000000
wesmea,Sturnella neglecta,Western Meadowlark,100000000,95000000,FALSE,0.9999168035028232,FALSE,100000000
wessan,Calidris mauri,Western Sandpiper,3500000,3500000,TRUE,1,TRUE,3500000
westan,Piranga ludoviciana,Western Tanager,15000000,15000000,TRUE,1,TRUE,15000000
wewpew,Contopus sordidulus,Western Wood-Pewee,9600000,8800000,FALSE,1,TRUE,9600000
whcspa,Zonotrichia leucophrys,White-crowned Sparrow,79000000,79000000,TRUE,1,TRUE,79000000
whevir,Vireo griseus,White-eyed Vireo,24000000,22000000,FALSE,1,TRUE,24000000
whfibi,Plegadis chihi,White-faced Ibis,7200000,1300000,FALSE,0.99999907485788,FALSE,7200000
whimbr,Numenius phaeopus,Whimbrel,1800000,80000,FALSE,0.30570272625194,FALSE,550000
whtspa,Zonotrichia albicollis,White-throated Sparrow,160000000,160000000,TRUE,1,TRUE,160000000
whtswi,Aeronautes saxatalis,White-throated Swift,3200000,2400000,FALSE,1,TRUE,3200000
whwcro,Loxia leucoptera,White-winged Crossbill,79000000,40000000,FALSE,0.9999861571323747,FALSE,79000000
whwdov,Zenaida asiatica,White-winged Dove,14000000,5200000,FALSE,1,TRUE,14000000
whwsco2,Melanitta deglandi,White-winged Scoter,400000,400000,TRUE,0.99999809408359,FALSE,400000
wilfly,Empidonax traillii,Willow Flycatcher,8100000,8100000,TRUE,1,TRUE,8100000
willet1,Tringa semipalmata,Willet,250000,250000,TRUE,1,TRUE,250000
wilpha,Phalaropus tricolor,Wilson's Phalarope,1500000,1500000,TRUE,1,TRUE,1500000
wilplo,Anarhynchus wilsonia,Wilson's Plover,22000,8600,FALSE,1,TRUE,22000
wilsap,Sphyrapicus thyroideus,Williamson's Sapsucker,300000,290000,FALSE,1,TRUE,300000
wilsni1,Gallinago delicata,Wilson's Snipe,2000000,2000000,TRUE,0.9999652756895248,FALSE,2000000
winwre3,Troglodytes hiemalis,Winter Wren,11000000,11000000,TRUE,1,TRUE,11000000
wlswar,Cardellina pusilla,Wilson's Warbler,81000000,81000000,TRUE,1,TRUE,81000000
woewar1,Helmitheros vermivorum,Worm-eating Warbler,780000,780000,TRUE,1,TRUE,780000
wooduc,Aix sponsa,Wood Duck,4600000,4600000,TRUE,1,TRUE,4600000
woosto,Mycteria americana,Wood Stork,450000,16000,FALSE,1,TRUE,450000
woothr,Hylocichla mustelina,Wood Thrush,12000000,12000000,TRUE,1,TRUE,12000000
y00475,Fulica americana,American Coot,7100000,5500000,FALSE,1,TRUE,7100000
y00478,Larus glaucoides,Iceland Gull,220000,84000,FALSE,0.9502827184973615,FALSE,210000
ycnher,Nyctanassa violacea,Yellow-crowned Night Heron,400000,130000,FALSE,1,TRUE,400000
yebcha,Icteria virens,Yellow-breasted Chat,17000000,15000000,FALSE,1,TRUE,17000000
yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,9600000,8400000,FALSE,1,TRUE,9600000
yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,13000000,13000000,TRUE,1,TRUE,13000000
yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,14000000,14000000,TRUE,1,TRUE,14000000
yehbla,Xanthocephalus xanthocephalus,Yellow-headed Blackbird,11000000,11000000,TRUE,1,TRUE,11000000
yelwar,Setophaga petechia,Yellow Warbler,97000000,93000000,FALSE,1,TRUE,97000000
yerwar,Setophaga coronata,Yellow-rumped Warbler,170000000,170000000,TRUE,1,TRUE,170000000
yetvir,Vireo flavifrons,Yellow-throated Vireo,4700000,4700000,TRUE,1,TRUE,4700000
yetwar,Setophaga dominica,Yellow-throated Warbler,2000000,2000000,TRUE,1,TRUE,2000000
zothaw,Buteo albonotatus,Zone-tailed Hawk,2000000,6200,FALSE,1,TRUE,2000000
