species_code,scientific_name,common_name,global_pop,us_ca_pop,north_american,prop_americas,americas,americas_pop
bulori,Icterus bullockii,Bullock's Oriole,7400000,6900000,FALSE,1,TRUE,7400000
burowl,Athene cunicularia,Burrowing Owl,18000000,990000,FALSE,1,TRUE,18000000
buwtea,Spatula discors,Blue-winged Teal,7800000,7800000,TRUE,1,TRUE,7800000
buwwar,Vermivora cyanoptera,Blue-winged Warbler,680000,680000,TRUE,1,TRUE,680000
cacgoo1,Branta hutchinsii,Cackling Goose,4500000,4100000,FALSE,0.9998713881447017,FALSE,4500000
calgul,Larus californicus,California Gull,1100000,1100000,TRUE,1,TRUE,1100000
calhum,Selasphorus calliope,Calliope Hummingbird,4500000,4500000,TRUE,1,TRUE,4500000
camwar,Setophaga tigrina,Cape May Warbler,7000000,7000000,TRUE,1,TRUE,7000000
cangoo,Branta canadensis,Canada Goose,7600000,7500000,FALSE,0.9845917673019282,FALSE,7500000
canvas,Aythya valisineria,Canvasback,690000,690000,TRUE,1,TRUE,690000
canwar,Cardellina canadensis,Canada Warbler,2600000,2600000,TRUE,1,TRUE,2600000
casfin,Haemorhous cassinii,Cassin's Finch,3200000,3200000,TRUE,1,TRUE,3200000
caskin,Tyrannus vociferans,Cassin's Kingbird,8800000,2500000,FALSE,1,TRUE,8800000
casspa,Peucaea cassinii,Cassin's Sparrow,14000000,9600000,FALSE,1,TRUE,14000000
caster1,Hydroprogne caspia,Caspian Tern,530000,78000,FALSE,0.406712508332679,FALSE,220000
casvir,Vireo cassinii,Cassin's Vireo,5000000,4600000,FALSE,1,TRUE,5000000
cavswa,Petrochelidon fulva,Cave Swallow,9600000,2800000,FALSE,1,TRUE,9600000
cedwax,Bombycilla cedrorum,Cedar Waxwing,64000000,64000000,TRUE,1,TRUE,64000000
cerwar,Setophaga cerulea,Cerulean Warbler,530000,530000,TRUE,1,TRUE,530000
chclon,Calcarius ornatus,Chestnut-collared Longspur,3100000,3100000,TRUE,1,TRUE,3100000
chispa,Spizella passerina,Chipping Sparrow,240000000,230000000,FALSE,1,TRUE,240000000
